open_mower_ros  | [ERROR] [1776135294.245827026]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135296.403653802]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135313.339552422]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135335.442849223]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135349.282845826]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776135380.374817993]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776135389.882746746]: NTRIP: connection attempt 32
open_mower_ros  | [ERROR] [1776135413.249094918]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135439.157692643]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776135456.218858170]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776135466.627708608]: NTRIP: connection attempt 33
open_mower_ros  | [ERROR] [1776135499.323907255]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135533.266561513]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135563.663209143]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [INFO] [1776135580.611778485]: NTRIP: RTCM data not received for 4.00 seconds
open_mower_ros  | [INFO] [1776135590.320183646]: NTRIP: connection attempt 34
open_mower_ros  | [ERROR] [1776135593.341789940]: [driver_gps] waited 11 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135613.364873039]: [driver_gps] waited 13 ms to write to the tx buffer, serial port is probably congested!
open_mower_ros  | [ERROR] [1776135635.506234137]: [driver_gps] waited 12 ms to write to the tx buffer, serial port is probably congested!
