mowgli-openmower | [WARN] [1726489462.206522]: Expected Checksum: 0x98FF78
mowgli-openmower | [WARN] [1726489462.212333]: Actual Checksum:   0x1AAB14
mowgli-openmower | [ INFO] [1726489463.257721960]: GPS quality: 0.93
mowgli-openmower | [ INFO] [1726489464.168082077]: MowingBehavior: (MOW) Progress: 312/636
mowgli-openmower | [WARN] [1726489466.601195]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489466.607662]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489466.614632]: Actual Checksum:   0x42FAB1
mowgli-openmower | [ INFO] [1726489469.168587628]: MowingBehavior: (MOW) Progress: 318/636
mowgli-openmower | [WARN] [1726489469.601172]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489469.607361]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489469.613917]: Actual Checksum:   0x134F0A
mowgli-openmower | [WARN] [1726489470.402266]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489470.407874]: Expected Checksum: 0xA10CC9
mowgli-openmower | [WARN] [1726489470.414108]: Actual Checksum:   0xD6D1A2
mowgli-openmower | [ INFO] [1726489473.757715133]: GPS quality: 0.93
mowgli-openmower | [ WARN] [1726489474.244304644]: got vx > 0.6 (0.606061) - dropping measurement
mowgli-openmower | [ INFO] [1726489474.269154003]: MowingBehavior: (MOW) Progress: 333/636
mowgli-openmower | [ INFO] [1726489479.270444216]: MowingBehavior: (MOW) Progress: 346/636
mowgli-openmower | [WARN] [1726489480.700939]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489480.707626]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489480.714416]: Actual Checksum:   0xD77341
mowgli-openmower | [WARN] [1726489482.301060]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489482.308443]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489482.315436]: Actual Checksum:   0xF835E4
mowgli-openmower | [ INFO] [1726489484.257697307]: GPS quality: 0.93
mowgli-openmower | [ INFO] [1726489484.368747922]: MowingBehavior: (MOW) Progress: 352/636
mowgli-openmower | [WARN] [1726489484.700593]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489484.707900]: Expected Checksum: 0xC91F8E
mowgli-openmower | [WARN] [1726489484.714411]: Actual Checksum:   0x7B54BF
mowgli-openmower | [WARN] [1726489484.720917]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489484.728674]: Expected Checksum: 0xBE7FCA
mowgli-openmower | [WARN] [1726489484.736306]: Actual Checksum:   0xC035C8
mowgli-openmower | [WARN] [1726489484.900497]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489484.906592]: Expected Checksum: 0xC91F8E
mowgli-openmower | [WARN] [1726489484.912940]: Actual Checksum:   0x7B54BF
mowgli-openmower | [WARN] [1726489484.920579]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489484.926950]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489484.935449]: Actual Checksum:   0x135633
mowgli-openmower | [WARN] [1726489485.401083]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489485.407241]: Expected Checksum: 0x5FFA8A
mowgli-openmower | [WARN] [1726489485.413177]: Actual Checksum:   0x82EC3B
mowgli-openmower | [WARN] [1726489485.421424]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489485.428450]: Expected Checksum: 0x38AE1
mowgli-openmower | [WARN] [1726489485.434459]: Actual Checksum:   0xBBE9F6
