sfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398365.358652062]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398365.358739931]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398365.772799654]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398365.858808674]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398365.858895302]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398366.358850588]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398366.358940123]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398366.772765781]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398366.859067481]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398366.859166516]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398367.362831416]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398367.363538475]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398367.772751435]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398367.858741846]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398367.858903139]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398368.359379608]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398368.359298110]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398368.772711413]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398368.858722824]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398368.858802897]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398369.358809177]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398369.358732104]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398369.772716048]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398369.858624480]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398369.858846661]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398370.358874519]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398370.358962443]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398370.772699506]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398370.858991191]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398370.859410664]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398371.358737911]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398371.358923981]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398371.772686399]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398371.858911531]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398371.859446872]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398372.358708939]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398372.358626348]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398372.773384694]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398372.860661287]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398372.860763359]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398373.359683900]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398373.359774899]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398373.773345680]: >>> [ID=5] Unable to Configure Charger
